type,field,qbasic_type,source_file
RcdFmtacmgn,mcode,STRING * 1,ACMGN.inc
RcdFmtacmgn,margin,STRING * 4,ACMGN.inc
RcdFmtacmgn,mcode,STRING * 1,ACMGN01.inc
RcdFmtacmgn,margin,STRING * 4,ACMGN01.inc
RcdFmtacstk,no,INTEGER,ACSTK.INC
RcdFmtacstk,search,STRING * 10,ACSTK.INC
RcdFmtacstk,ean13,CURRENCY,ACSTK.INC
RcdFmtacstk,desc1,STRING * 25,ACSTK.INC
RcdFmtacstk,desc2,STRING * 10,ACSTK.INC
RcdFmtacstk,suplr,STRING * 5,ACSTK.INC
RcdFmtacstk,size,STRING * 3,ACSTK.INC
RcdFmtacstk,unit,STRING * 2,ACSTK.INC
RcdFmtacstk,pack,INTEGER,ACSTK.INC
RcdFmtacstk,dgflag,STRING * 1,ACSTK.INC
RcdFmtacstk,form,STRING * 4,ACSTK.INC
RcdFmtacstk,pkge,INTEGER,ACSTK.INC
RcdFmtacstk,label,INTEGER,ACSTK.INC
RcdFmtacstk,manu,INTEGER,ACSTK.INC
RcdFmtacstk,active,STRING * 1,ACSTK.INC
RcdFmtacstk,taxinc,STRING * 1,ACSTK.INC
RcdFmtacstk,salestaxcde,STRING * 1,ACSTK.INC
RcdFmtacstk,purcost,SINGLE,ACSTK.INC
RcdFmtacstk,purtax,SINGLE,ACSTK.INC
RcdFmtacstk,wholesalecost,SINGLE,ACSTK.INC
RcdFmtacstk,disccdeone,STRING * 1,ACSTK.INC
RcdFmtacstk,disccdetwo,STRING * 1,ACSTK.INC
RcdFmtacstk,wholesalecde,STRING * 1,ACSTK.INC
RcdFmtacstk,retailcde,STRING * 1,ACSTK.INC
RcdFmtacstk,countercde,STRING * 1,ACSTK.INC
RcdFmtacstk,tradecde,STRING * 1,ACSTK.INC
RcdFmtacstk,contractcde,STRING * 1,ACSTK.INC
RcdFmtacstk,industrialcde,STRING * 1,ACSTK.INC
RcdFmtacstk,distributorcde,STRING * 1,ACSTK.INC
RcdFmtacstk,retail,SINGLE,ACSTK.INC
RcdFmtacstk,counter,SINGLE,ACSTK.INC
RcdFmtacstk,trade,SINGLE,ACSTK.INC
RcdFmtacstk,contract,SINGLE,ACSTK.INC
RcdFmtacstk,industrial,SINGLE,ACSTK.INC
RcdFmtacstk,distributor,SINGLE,ACSTK.INC
RcdFmtacstk,suplr4stdcost,STRING * 5,ACSTK.INC
RcdFmtacstk,search4stdcost,STRING * 10,ACSTK.INC
RcdFmtacstk,cogs,SINGLE,ACSTK.INC
RcdFmtacstk,gpc,SINGLE,ACSTK.INC
RcdFmtacstk,rmc,SINGLE,ACSTK.INC
RcdFmtacstk,gpr,SINGLE,ACSTK.INC
RcdFmtacstk,soh,INTEGER,ACSTK.INC
RcdFmtacstk,sohv,SINGLE,ACSTK.INC
RcdFmtacstk,sip,INTEGER,ACSTK.INC
RcdFmtacstk,soo,INTEGER,ACSTK.INC
RcdFmtacstk,sold,INTEGER,ACSTK.INC
RcdFmtacstk,date,STRING * 8,ACSTK.INC
RcdFmtacstk,bulk,SINGLE,ACSTK.INC
RcdFmtacstk,lid,INTEGER,ACSTK.INC
RcdFmtacstk,pbox,INTEGER,ACSTK.INC
RcdFmtacstk,boxlbl,INTEGER,ACSTK.INC
RcdFmtacstk,filler,STRING * 69,ACSTK.INC
RcdFmtacstk,no,INTEGER,ACSTKX.INC
RcdFmtacstk,search,STRING * 10,ACSTKX.INC
RcdFmtacstk,desc1,STRING * 25,ACSTKX.INC
RcdFmtacstk,desc2,STRING * 10,ACSTKX.INC
RcdFmtacstk,suplr,STRING * 5,ACSTKX.INC
RcdFmtacstk,size,STRING * 3,ACSTKX.INC
RcdFmtacstk,unit,STRING * 2,ACSTKX.INC
RcdFmtacstk,pack,INTEGER,ACSTKX.INC
RcdFmtacstk,dgflag,STRING * 1,ACSTKX.INC
RcdFmtacstk,taxinc,STRING * 1,ACSTKX.INC
RcdFmtacstk,salestaxcde,STRING * 1,ACSTKX.INC
RcdFmtacstk,purcost,SINGLE,ACSTKX.INC
RcdFmtacstk,purtax,SINGLE,ACSTKX.INC
RcdFmtacstk,disccdeone,STRING * 1,ACSTKX.INC
RcdFmtacstk,disccdetwo,STRING * 1,ACSTKX.INC
RcdFmtacstk,wholesalecost,SINGLE,ACSTKX.INC
RcdFmtacstk,filler4,STRING * 4,ACSTKX.INC
RcdFmtacstk,tax,SINGLE,ACSTKX.INC
RcdFmtacstk,retailcde,STRING * 1,ACSTKX.INC
RcdFmtacstk,countercde,STRING * 1,ACSTKX.INC
RcdFmtacstk,tradecde,STRING * 1,ACSTKX.INC
RcdFmtacstk,contractcde,STRING * 1,ACSTKX.INC
RcdFmtacstk,industrialcde,STRING * 1,ACSTKX.INC
RcdFmtacstk,distributorcde,STRING * 1,ACSTKX.INC
RcdFmtacstk,retail,SINGLE,ACSTKX.INC
RcdFmtacstk,counter,SINGLE,ACSTKX.INC
RcdFmtacstk,trade,SINGLE,ACSTKX.INC
RcdFmtacstk,contract,SINGLE,ACSTKX.INC
RcdFmtacstk,industrial,SINGLE,ACSTKX.INC
RcdFmtacstk,distributor,SINGLE,ACSTKX.INC
RcdFmtacstk,suplr4stdcost,STRING * 5,ACSTKX.INC
RcdFmtacstk,search4stdcost,STRING * 10,ACSTKX.INC
RcdFmtacstk,filler9,STRING * 7,ACSTKX.INC
RcdFmtacstk,tax,SINGLE,ACSTKX.INC
RcdFmtacstk,tax,SINGLE,ACSTKX.INC
RcdFmtacstk,tax,SINGLE,ACSTKX.INC
RcdFmtacstk,tax,SINGLE,ACSTKX.INC
RcdFmtacstk,tax,SINGLE,ACSTKX.INC
RcdFmtacstk,tax,SINGLE,ACSTKX.INC
RcdFmtacstk,soo,INTEGER,ACSTKX.INC
RcdFmtacstk,soh,INTEGER,ACSTKX.INC
RcdFmtacstk,active,STRING * 1,ACSTKX.INC
RcdFmtacstk,sold,INTEGER,ACSTKX.INC
RcdFmtacstk,date,STRING * 8,ACSTKX.INC
RcdFmtacstk,wholesalecde,STRING * 1,ACSTKX.INC
RcdFmtacstk,ean13,CURRENCY,ACSTKX.INC
RcdFmtacstk,filler,STRING * 4,ACSTKX.INC
RcdFmtacstkx,no,INTEGER,ACSTKX.INC
RcdFmtacstkx,search,STRING * 10,ACSTKX.INC
RcdFmtacstkx,ean13,CURRENCY,ACSTKX.INC
RcdFmtacstkx,desc1,STRING * 25,ACSTKX.INC
RcdFmtacstkx,desc2,STRING * 10,ACSTKX.INC
RcdFmtacstkx,suplr,STRING * 5,ACSTKX.INC
RcdFmtacstkx,size,STRING * 3,ACSTKX.INC
RcdFmtacstkx,unit,STRING * 2,ACSTKX.INC
RcdFmtacstkx,pack,INTEGER,ACSTKX.INC
RcdFmtacstkx,dgflag,STRING * 1,ACSTKX.INC
RcdFmtacstkx,form,STRING * 4,ACSTKX.INC
RcdFmtacstkx,pkge,INTEGER,ACSTKX.INC
RcdFmtacstkx,label,INTEGER,ACSTKX.INC
RcdFmtacstkx,manu,INTEGER,ACSTKX.INC
RcdFmtacstkx,active,STRING * 1,ACSTKX.INC
RcdFmtacstkx,taxinc,STRING * 1,ACSTKX.INC
RcdFmtacstkx,salestaxcde,STRING * 1,ACSTKX.INC
RcdFmtacstkx,purcost,SINGLE,ACSTKX.INC
RcdFmtacstkx,purtax,SINGLE,ACSTKX.INC
RcdFmtacstkx,wholesalecost,SINGLE,ACSTKX.INC
RcdFmtacstkx,disccdeone,STRING * 1,ACSTKX.INC
RcdFmtacstkx,disccdetwo,STRING * 1,ACSTKX.INC
RcdFmtacstkx,wholesalecde,STRING * 1,ACSTKX.INC
RcdFmtacstkx,retailcde,STRING * 1,ACSTKX.INC
RcdFmtacstkx,countercde,STRING * 1,ACSTKX.INC
RcdFmtacstkx,tradecde,STRING * 1,ACSTKX.INC
RcdFmtacstkx,contractcde,STRING * 1,ACSTKX.INC
RcdFmtacstkx,industrialcde,STRING * 1,ACSTKX.INC
RcdFmtacstkx,distributorcde,STRING * 1,ACSTKX.INC
RcdFmtacstkx,retail,SINGLE,ACSTKX.INC
RcdFmtacstkx,counter,SINGLE,ACSTKX.INC
RcdFmtacstkx,trade,SINGLE,ACSTKX.INC
RcdFmtacstkx,contract,SINGLE,ACSTKX.INC
RcdFmtacstkx,industrial,SINGLE,ACSTKX.INC
RcdFmtacstkx,distributor,SINGLE,ACSTKX.INC
RcdFmtacstkx,suplr4stdcost,STRING * 5,ACSTKX.INC
RcdFmtacstkx,search4stdcost,STRING * 10,ACSTKX.INC
RcdFmtacstkx,cogs,SINGLE,ACSTKX.INC
RcdFmtacstkx,gpc,SINGLE,ACSTKX.INC
RcdFmtacstkx,rmc,SINGLE,ACSTKX.INC
RcdFmtacstkx,gpr,SINGLE,ACSTKX.INC
RcdFmtacstkx,soh,INTEGER,ACSTKX.INC
RcdFmtacstkx,sohv,SINGLE,ACSTKX.INC
RcdFmtacstkx,sip,INTEGER,ACSTKX.INC
RcdFmtacstkx,soo,INTEGER,ACSTKX.INC
RcdFmtacstkx,sold,INTEGER,ACSTKX.INC
RcdFmtacstkx,date,STRING * 8,ACSTKX.INC
RcdFmtacstkx,bulk,SINGLE,ACSTKX.INC
RcdFmtacstkx,filler,STRING * 75,ACSTKX.INC
RcdFmttypes,dftype,STRING * 1,ACTYP01.inc
RcdFmttypes,dfdesc,STRING * 25,ACTYP01.inc
RcdFmttypes,x1,STRING * 1,ACTYP01.inc
RcdFmttypes,x2,STRING * 1,ACTYP01.inc
RcdFmttypes,x3,STRING * 1,ACTYP01.inc
RcdFmttypes,x4,STRING * 1,ACTYP01.inc
RcdFmttypes,x5,STRING * 1,ACTYP01.inc
RcdFmttypes,x6,STRING * 1,ACTYP01.inc
RcdFmttypes,x7,STRING * 1,ACTYP01.inc
RcdFmttypes,x8,STRING * 1,ACTYP01.inc
RcdFmttypes,x9,STRING * 1,ACTYP01.inc
RcdFmttypes,x10,STRING * 1,ACTYP01.inc
RcdFmttypes,x11,STRING * 1,ACTYP01.inc
RcdFmttypes,x12,STRING * 1,ACTYP01.inc
RcdFmttypes,x13,STRING * 1,ACTYP01.inc
RcdFmttypes,x14,STRING * 1,ACTYP01.inc
RcdFmttypes,x15,STRING * 1,ACTYP01.inc
RcdFmttypes,x16,STRING * 1,ACTYP01.inc
RcdFmttypes,x17,STRING * 1,ACTYP01.inc
RcdFmttypes,x18,STRING * 1,ACTYP01.inc
RcdFmttypes,x19,STRING * 1,ACTYP01.inc
RcdFmttypes,x20,STRING * 1,ACTYP01.inc
RcdFmtasarcit,adrec,STRING * 2,ASARCIT.inc
RcdFmtasarcit,addate,STRING * 8,ASARCIT.inc
RcdFmtasarcit,adtype,STRING * 2,ASARCIT.inc
RcdFmtasarcit,adsname,STRING * 30,ASARCIT.inc
RcdFmtasarcit,adcust,STRING * 5,ASARCIT.inc
RcdFmtasarcit,addocnum,STRING * 8,ASARCIT.inc
RcdFmtasarcit,adfiller,STRING * 8,ASARCIT.inc
RcdFmtasarcit,advalue,STRING * 4,ASARCIT.inc
RcdFmtasarcit,adglacc,STRING * 4,ASARCIT.inc
RcdFmtasarcit,adtext,STRING * 17,ASARCIT.inc
RcdFmtAudit,adrec,INTEGER,ASAUDIT.INC
RcdFmtAudit,addate,STRING * 8,ASAUDIT.INC
RcdFmtAudit,adtype,STRING * 2,ASAUDIT.INC
RcdFmtAudit,adsname,STRING * 30,ASAUDIT.INC
RcdFmtAudit,adcust,STRING * 5,ASAUDIT.INC
RcdFmtAudit,addocnum,STRING * 8,ASAUDIT.INC
RcdFmtAudit,advalue,CURRENCY,ASAUDIT.INC
RcdFmtAudit,adglacc,SINGLE,ASAUDIT.INC
RcdFmtAudit,adtext,STRING * 16,ASAUDIT.INC
RcdFmtAudit,adpaid,STRING * 1,ASAUDIT.INC
RcdFmtAudit,adtax,SINGLE,ASAUDIT.INC
RcdFmtAudit,adactive,STRING * 1,ASAUDIT.INC
RcdFmtAudit,adfiller,STRING * 3,ASAUDIT.INC
RcdFmtclobal,rec,INTEGER,ASCLOBAL.inc
RcdFmtclobal,mth,STRING * 4,ASCLOBAL.inc
RcdFmtclobal,cust,STRING * 5,ASCLOBAL.inc
RcdFmtclobal,ocur,SINGLE,ASCLOBAL.inc
RcdFmtclobal,o30,SINGLE,ASCLOBAL.inc
RcdFmtclobal,o60,SINGLE,ASCLOBAL.inc
RcdFmtclobal,o90,SINGLE,ASCLOBAL.inc
RcdFmtclobal,cur,SINGLE,ASCLOBAL.inc
RcdFmtclobal,c30,SINGLE,ASCLOBAL.inc
RcdFmtclobal,c60,SINGLE,ASCLOBAL.inc
RcdFmtclobal,c90,SINGLE,ASCLOBAL.inc
RcdFmtclobal,filler,STRING * 5,ASCLOBAL.inc
RcdFmtcurbal,rec,INTEGER,ASCURBAL.inc
RcdFmtcurbal,mth,STRING * 4,ASCURBAL.inc
RcdFmtcurbal,cust,STRING * 5,ASCURBAL.inc
RcdFmtcurbal,ocur,SINGLE,ASCURBAL.inc
RcdFmtcurbal,o30,SINGLE,ASCURBAL.inc
RcdFmtcurbal,o60,SINGLE,ASCURBAL.inc
RcdFmtcurbal,o90,SINGLE,ASCURBAL.inc
RcdFmtcurbal,cur,SINGLE,ASCURBAL.inc
RcdFmtcurbal,c30,SINGLE,ASCURBAL.inc
RcdFmtcurbal,c60,SINGLE,ASCURBAL.inc
RcdFmtcurbal,c90,SINGLE,ASCURBAL.inc
RcdFmtcurbal,filler,STRING * 5,ASCURBAL.inc
RcdFmtopnbal,rec,INTEGER,ASOPNBAL.inc
RcdFmtopnbal,mth,STRING * 4,ASOPNBAL.inc
RcdFmtopnbal,cust,STRING * 5,ASOPNBAL.inc
RcdFmtopnbal,ocur,SINGLE,ASOPNBAL.inc
RcdFmtopnbal,o30,SINGLE,ASOPNBAL.inc
RcdFmtopnbal,o60,SINGLE,ASOPNBAL.inc
RcdFmtopnbal,o90,SINGLE,ASOPNBAL.inc
RcdFmtopnbal,cur,SINGLE,ASOPNBAL.inc
RcdFmtopnbal,c30,SINGLE,ASOPNBAL.inc
RcdFmtopnbal,c60,SINGLE,ASOPNBAL.inc
RcdFmtopnbal,c90,SINGLE,ASOPNBAL.inc
RcdFmtopnbal,filler,STRING * 5,ASOPNBAL.inc
RcdFmtassets,no,INTEGER,ASSETS.inc
RcdFmtassets,key,STRING * 4,ASSETS.inc
RcdFmtassets,name,STRING * 35,ASSETS.inc
RcdFmtassets,desc,STRING * 35,ASSETS.inc
RcdFmtassets,suplr,STRING * 35,ASSETS.inc
RcdFmtassets,purdate,STRING * 8,ASSETS.inc
RcdFmtassets,purcost,SINGLE,ASSETS.inc
RcdFmtassets,finance,STRING * 35,ASSETS.inc
RcdFmtassets,depreciation,SINGLE,ASSETS.inc
RcdFmtassets,calibreq,STRING * 1,ASSETS.inc
RcdFmtassets,disposaldate,STRING * 8,ASSETS.inc
RcdFmtassets,date,STRING * 8,ASSETS.inc
RcdFmtcashsal,cno,STRING * 2,CASHSAL.inc
RcdFmtcashsal,cupdrec,STRING * 2,CASHSAL.inc
RcdFmtcashsal,csize,STRING * 3,CASHSAL.inc
RcdFmtcashsal,csearch,STRING * 10,CASHSAL.inc
RcdFmtcashsal,cqtysold,STRING * 2,CASHSAL.inc
RcdFmtcolbase,bscode,STRING * 1,COLBASE.inc
RcdFmtcolbase,bdesc,STRING * 12,COLBASE.inc
RcdFmtcolbase,bperc,STRING * 2,COLBASE.inc
RcdFmtcolcard,ccdesc,STRING * 22,COLCARD.inc
RcdFmtcolcard,sno,STRING * 2,COLCHTX1.inc
RcdFmtcolcard,sname,STRING * 30,COLCHTX1.inc
RcdFmtcolcard,saddr,STRING * 20,COLCHTX1.inc
RcdFmtcolcard,spcode,STRING * 4,COLCHTX1.inc
RcdFmtcolcard,sacode,STRING * 3,COLCHTX1.inc
RcdFmtcolcard,sphone,STRING * 7,COLCHTX1.inc
RcdFmtcolcard,sdate,STRING * 8,COLCHTX1.inc
RcdFmtcolcard,scont,STRING * 20,COLCHTX1.inc
RcdFmtcolcard,suburb,STRING * 20,COLCHTX1.inc
RcdFmtcolcard,spbox,STRING * 6,COLCHTX1.inc
RcdFmtcolcard,sdist,STRING * 1,COLCHTX1.inc
RcdFmtcolcard,sret,STRING * 1,COLCHTX1.inc
RcdFmtcolcard2,places,STRING * 122,COLCHTX1.inc
RcdFmtcolcard2,spaddr,STRING * 20,COLCHTX1.inc
RcdFmtcolcard2,spsub,STRING * 20,COLCHTX1.inc
RcdFmtcolcard2,scur,STRING * 4,COLCHTX1.inc
RcdFmtcolcard2,s30,STRING * 4,COLCHTX1.inc
RcdFmtcolcard2,s60,STRING * 4,COLCHTX1.inc
RcdFmtcolcard2,s90,STRING * 4,COLCHTX1.inc
RcdFmtcolcard2,stype,STRING * 1,COLCHTX1.inc
RcdFmtcolcard2,sdays,STRING * 2,COLCHTX1.inc
RcdFmtcolcard2,sterms,STRING * 4,COLCHTX1.inc
RcdFmtcolcard2,search,STRING * 4,COLCHTX1.inc
RcdFmtcolcard3,places,STRING * 189,COLCHTX1.inc
RcdFmtcolcard3,daysmax,STRING * 2,COLCHTX1.inc
RcdFmtcolcard3,sacode1,STRING * 3,COLCHTX1.inc
RcdFmtcolcard3,sphone1,STRING * 7,COLCHTX1.inc
RcdFmtcolcard3,opn,STRING * 4,COLCHTX1.inc
RcdFmtcolcard3,opn30,STRING * 4,COLCHTX1.inc
RcdFmtcolcard3,opn60,STRING * 4,COLCHTX1.inc
RcdFmtcolcard3,opn90,STRING * 4,COLCHTX1.inc
RcdFmtcolcard3,agent,STRING * 2,COLCHTX1.inc
RcdFmtcolcard3,account,STRING * 4,COLCHTX1.inc
RcdFmtcolcard3,finvn,STRING * 2,COLCHTX1.inc
RcdFmtcolcard3,fpayn,STRING * 2,COLCHTX1.inc
RcdFmtcolcard3,climit,STRING * 4,COLCHTX1.inc
RcdFmtcolcard3,taxe,STRING * 10,COLCHTX1.inc
RcdFmtcolcard3,fcrnn,STRING * 2,COLCHTX1.inc
RcdFmtcolcard3,spname,STRING * 30,COLCHTX1.inc
RcdFmtcolcard3,scont1,STRING * 1,COLCHTX1.inc
RcdFmtcolcard3,scont2,STRING * 1,COLCHTX1.inc
RcdFmtcolcard3,sunpoz,STRING * 2,COLCHTX1.inc
RcdFmtcolcard3,smlpoz,STRING * 4,COLCHTX1.inc
RcdFmtcolcard3,filler,STRING * 12,COLCHTX1.inc
RcdFmtcolcard4,wcde,STRING * 4,COLCHTX1.inc
RcdFmtcolcard4,wtyp,STRING * 1,COLCHTX1.inc
RcdFmtcolcard4,wrrn,STRING * 2,COLCHTX1.inc
RcdFmtcolcard5,bscode,STRING * 1,COLCHTX1.inc
RcdFmtcolcard5,bdesc,STRING * 12,COLCHTX1.inc
RcdFmtcolcard5,bperc,STRING * 2,COLCHTX1.inc
RcdFmtcolcard6,ccdesc,STRING * 22,COLCHTX1.inc
RcdFmtcompany,cono,STRING * 2,COMPANY.inc
RcdFmtcompany,codesc,STRING * 40,COMPANY.inc
RcdFmtcomplnt,no,INTEGER,COMPLNT.inc
RcdFmtcomplnt,Name,STRING * 30,COMPLNT.inc
RcdFmtcomplnt,Addr,STRING * 25,COMPLNT.inc
RcdFmtcomplnt,sub,STRING * 20,COMPLNT.inc
RcdFmtcomplnt,pcode,STRING * 4,COMPLNT.inc
RcdFmtcomplnt,phone,STRING * 12,COMPLNT.inc
RcdFmtcomplnt,fax,STRING * 12,COMPLNT.inc
RcdFmtcomplnt,cName,STRING * 30,COMPLNT.inc
RcdFmtcomplnt,cAddr,STRING * 25,COMPLNT.inc
RcdFmtcomplnt,csub,STRING * 20,COMPLNT.inc
RcdFmtcomplnt,cpcode,STRING * 4,COMPLNT.inc
RcdFmtcomplnt,cphone,STRING * 12,COMPLNT.inc
RcdFmtcomplnt,cfax,STRING * 12,COMPLNT.inc
RcdFmtcomplnt,opened,STRING * 8,COMPLNT.inc
RcdFmtcomplnt,closed,STRING * 8,COMPLNT.inc
RcdFmtcomplnt,type,STRING * 10,COMPLNT.inc
RcdFmtcomplnt,product,STRING * 10,COMPLNT.inc
